,precision,recall,f1-score,support
0,0.6882591093117408,0.1528776978417266,0.2501839587932303,1112.0
1,0.7402812241521919,0.9721216509775525,0.8405071216152763,2762.0
accuracy,0.7369643779039752,0.7369643779039752,0.7369643779039752,0.7369643779039752
macro avg,0.7142701667319664,0.5624996744096395,0.5453455402042533,3874.0
weighted avg,0.7253487017715564,0.7369643779039752,0.6710596881981067,3874.0
