,precision,recall,f1-score,support
0,0.3990294886151549,0.9613309352517986,0.5639672909522554,1112.0
1,0.9640167364016736,0.4170890658942795,0.5822592873388931,2762.0
accuracy,0.573309241094476,0.573309241094476,0.573309241094476,0.573309241094476
macro avg,0.6815231125084142,0.689210000573039,0.5731132891455742,3874.0
weighted avg,0.8018417700778201,0.573309241094476,0.5770087194550673,3874.0
