,precision,recall,f1-score,support
0,0.9981884057971014,0.9910071942446043,0.9945848375451264,1112.0
1,0.9963898916967509,0.999275887038378,0.9978308026030369,2762.0
accuracy,0.9969024264326277,0.9969024264326277,0.9969024264326277,0.9969024264326277
macro avg,0.9972891487469262,0.9951415406414912,0.9962078200740816,3874.0
weighted avg,0.9969061404524528,0.9969024264326277,0.9968990748941065,3874.0
