,precision,recall,f1-score,support
0,0.9864620938628159,0.9829136690647482,0.9846846846846847,1112.0
1,0.9931308749096168,0.9945691527878349,0.993849493487699,2762.0
accuracy,0.9912235415591121,0.9912235415591121,0.9912235415591121,0.9912235415591121
macro avg,0.9897964843862164,0.9887414109262915,0.9892670890861919,3874.0
weighted avg,0.9912166558791463,0.9912235415591121,0.9912188101141957,3874.0
