,precision,recall,f1-score,support
0,0.9801623083859333,0.9775179856115108,0.9788383610986042,1112.0
1,0.9909584086799277,0.9920347574221579,0.991496290935408,2762.0
accuracy,0.9878678368611254,0.9878678368611254,0.9878678368611254,0.9878678368611254
macro avg,0.9855603585329304,0.9847763715168343,0.9851673260170062,3874.0
weighted avg,0.9878594764324,0.9878678368611254,0.9878629357525154,3874.0
