,precision,recall,f1-score,support
0,0.5508474576271186,0.17535971223021582,0.2660300136425648,1112.0
1,0.7394886363636364,0.94243301955105,0.8287169691181152,2762.0
accuracy,0.7222509034589571,0.7222509034589571,0.7222509034589571,0.7222509034589571
macro avg,0.6451680469953776,0.5588963658906329,0.54737349138034,3874.0
weighted avg,0.6853407296122147,0.7222509034589571,0.6672022828793924,3874.0
